1440;1440;GORRO ALUMINIO x 3;YYNN;YVYN;YSVN;VVNN;;PQT;;0;;GENERAL;GENERAL;GENERAL;GENERAL
144RTS;144RTS;CEPILLO ;VNNN;VVNN;VPNN;PNNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
1459-14;1459-14;GLITTER;YYNN;YVYN;YSVN;VVNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
14928;14928;UÑAS POSTIZAS PARA NIÑA;RYNN;ROYN;PSVN;ZVVNN;;CTN;12;12;4413;GENERAL;GENERAL;GENERAL;GENERAL
14929;14929;UÑAS POSTIZAS NIÑA;RYNN;ROYN;PSVN;ZVVNN;;CTN;33X21;0;4405;GENERAL;GENERAL;GENERAL;GENERAL
;14PCS;PERLA PLÁSTICA 14MM;N;N;N;N;;PQT;;0;;GENERAL;GENERAL;GENERAL;GENERAL
15;15;DIADEMA FRANCÉS;UNNN;UUNN;SNNN;ZNNNN;;UND;1.5 Cm;CxU;;BISUTERIA;MATERIALES;MURRINAS;SARTAS
15047-1;15047-1;STICKER TATTO;PVNN;OYVN;ZNNPN;ZSPNN;;DOC;14X5X26;0;4463;GENERAL;GENERAL;GENERAL;GENERAL
15047-2;15047-2;STICKERS;VYNN;VSYN;UNVN;PVNN;;DOC;12;0;4471;GENERAL;GENERAL;GENERAL;GENERAL
15047-3;15047-3;STICKERS PEINADOS;ZPNN;ZOPN;YZSN;WSNN;;DOC;6 x6 cm;0;4530;BELLEZA;CABELLO;STICKERS PARA CABELLO;GENERAL
15054-2;15054-2;ENCRESPADOR FUCSIA;ZPNN;ZOPN;YZSN;WSNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
15054-3;15054-3;ENCRESPADOR;YVNNN;YSVNN;YPPNN;VPNNN;;DOC;10CM;0;4304;GENERAL;GENERAL;GENERAL;GENERAL
15055-1;15055-1;BROCHAMAQUILLAJE;VUNN;VOUN;UVNN;ONNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
15055-2;15055-2;BROCHA PARA BASE;VUNN;VOUN;UVNN;ONNN;;UND;15.5;1;4385;GENERAL;GENERAL;GENERAL;GENERAL
15055-3;15055-3;BROCHA PARA BASE;VUNN;VOUN;UVNN;ONNN;;UND;1;1;6474;GENERAL;GENERAL;GENERAL;GENERAL
15057-1;15057-1;STICKER DE UÑAS;OSNN;ZNUSN;ZZUYN;ZOYNN;;DOC;12;0;4471;GENERAL;GENERAL;GENERAL;GENERAL
15059-1;15059-1;PEINILLA COLA RATÓN NEON;YVNN;YSVN;YPPN;VPNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
15059-1H105778;15059-1H105778;PEINILLA COLA RATÓN NEON;YVNN;YSVN;YPPN;VPNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
15059-5;15059-5;14344444444e+132;WSNN;WOSN;VWYN;RYNN;;PQT;;0;;GENERAL;GENERAL;GENERAL;GENERAL
15062;15062;CEPILLO FACIAL;RUN;PYU;ONN;ZUNN;;UND;1;1;4344;GENERAL;GENERAL;GENERAL;GENERAL
15062-1;15062-1;CEPILLO FACIAL;RUN;PYU;ONN;ZUNN;;UND;1;1;;GENERAL;GENERAL;GENERAL;GENERAL
15062-3;15062-3;CEPILLO FACIAL;RUN;PYU;ONN;ZUNN;;UND;1;1;4344;GENERAL;GENERAL;GENERAL;GENERAL
15078-2;15078-2;PEINILLA MOJARRA NEGRA ;VPNN;UYPN;URSN;OSNN;;DOC;12;0;4256;GENERAL;GENERAL;GENERAL;GENERAL
15078-3;15078-3;PEINILLA MOJARRA COLORES;UVNN;UOVN;SVPN;ZNPNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
15078-3HE0917;15078-3HE0917;PEINILLA MOJARRA COLORES;UVNN;UOVN;SVPN;ZNPNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
15088-1;15088-1;PEGA UÑAS ECONÓMICA;SNN;SSN;RYN;ZYNN;;UND;5.5;1;4317;GENERAL;GENERAL;GENERAL;GENERAL
