#100NEWSALON,#100NEWSALON,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
000000243315,ZAMV2831,ZAMAK,SNNN,SSNN,RPNN,ZYNNN,WNNN,UND,,,,ENSAMBLE,ZAMAK,DIJES,GENERAL
000000243322,ZAMV2832,DIJE ZAMAK,SNNN,SSNN,RPNN,ZYNNN,WNNN,UND,,,,ENSAMBLE,ZAMAK,DIJES,GENERAL
000000243285,ZAMV2833,ZAMAK,UVNN,UOUN,RNNN,ZNPNN,YRNN,UND,,,,ENSAMBLE,ZAMAK,DIJES,GENERAL
000000243384,ZAMV2834,DIJE ZAMAK,VVNN,VPUN,URNN,PPNN,YYNN,UND,,,,PENDIENTE POR CARGAR,GENERAL,GENERAL,GENERAL
000000242530,ZAMV2933,DIJE ZAMAK,WYNN,WUNN,VZUN,SVNN,ZSNN,UND,,,,ENSAMBLE,ZAMAK,DIJES,GENERAL
,ZAMV2934,DIJE ZAMAK,VVNN,VPUN,URNN,PPNN,YYNN,UND,,,,ENSAMBLE,ZAMAK,DIJES,GENERAL
000000243278,ZAMV2935,ZAMAK,WYNN,WUNN,VZUN,SVNN,ZSNN,UND,,,,ENSAMBLE,ZAMAK,DIJES,GENERAL
000000243292,ZAMV2937,ZAMAK(PAQ X 5 UNI),YYUN,YUNN,YOUN,VUNN,ZZYU,PQT,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB109,ENSAMBLE GOLFID,ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB121,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB162,ARETA,RUN,PUN,ZNNN,ZUNN,WRU,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB163,ARETA GOLFIED,SNN,SUN,PNN,ZYNN,WNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB164,ARETA GOLFIED,PNN,ONN,ZNUN,ZSNN,VNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB168,ARETA GOLFIED,PNN,ONN,ZNUN,ZSNN,VNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB169,ARETA GOLFIED,ONN,ZNNN,ZZUN,ZPNN,VUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB170,ENSAMBLE GOLFIED,ONN,ZNNN,ZZUN,ZPNN,VUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB171,ENSAMBLE GOLFIED,PNN,ONN,ZNUN,ZSNN,VNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB172,ARETA GOLFIED,ZUNN,ZSUN,ZOUN,WNNN,RUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB173,ENSAMBLE GOLFIED,ZNNN,ZZNN,ZWNN,YNNN,UNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB174,ENSABLE GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB178,ENSAMBLE GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB179,ARETA GOLFIED,ZUNN,ZSUN,ZOUN,WNNN,RUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB180,ARETA GOLFIED,ZVNN,ZUUN,ZPNN,YPNN,RNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB182,ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB183,ARETA GOLFIED,UNN,UUN,SUN,ZNNN,YUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB184,ARETA GOLFIED,UUN,SNN,RNN,ZZNN,YRU,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB185,ENSAMBLE GOLFIED,SNN,SUN,PNN,ZYNN,WNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB186,ARETA GOLFIED,SNN,SUN,PNN,ZYNN,WNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB187,ARETA ENSAMBLE,ZUNN,ZSUN,ZOUN,WNNN,RUN,UND,,,,PENDIENTE POR CARGAR,GENERAL,GENERAL,GENERAL
,ZBB188,ARETA GOLFIED,RUN,PUN,ZNNN,ZUNN,WRU,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB189,ARETA GOLFIED,VUN,UNN,SNN,ONN,YYU,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB190,ARETA GOLFIED,VUN,UNN,SNN,ONN,YYU,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB191,ARETA GOLFIED,ZSNN,ZRUN,YZNN,WYNN,PNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB192,ARETA GOLFIED,SNN,SUN,PNN,ZYNN,WNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,ZBB193,ARETA GOLFIED,PNN,ONN,ZNUN,ZSNN,VNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000219693,ZBB269,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,BASE ARETAS,GENERAL
000000160544,ZBB270,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,BASE ARETAS,GENERAL
000000218405,ZBB271,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,BASE ARETAS,GENERAL
000000219679,ZBB272,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000218351,ZBB276,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,BASE ARETAS,GENERAL
000000219167,ZBB277,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,BASE ARETAS,GENERAL
000000218665,ZBB278,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,BASE ARETAS,GENERAL
000000219020,ZBB279,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000219112,ZBB280,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,BASE ARETAS,GENERAL
000000218542,ZBB281,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,BASE ARETAS,GENERAL
000000218962,ZBB282,BASE ARETA GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,BASE ARETAS,GENERAL
000000157278,ZBL323,ENSAMBLE GOLFIED(733),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157223,ZBL324,ENSAMBLE GOLFIED(734),ONN,ZNNN,ZZUN,ZPNN,VUN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157254,ZBL325,ENSAMBLE GOLFIED (737),ONN,ZNNN,ZZUN,ZPNN,VUN,GRM,,,,ENSAMBLE,GOLFIED,BALINES,GENERAL
000000219471,ZC283,CADENA GOLFIED ENSAMBLE-1 MTR,WWUN,WRNN,VWUN,SRNN,ZSRU,UND,,,7350,ENSAMBLE,GOLFIED,CADENERIA,GENERAL
000000218498,ZC284,CADENA ENSAMBLE,PVNN,OYUN,ZNONN,ZSPNN,VYNN,UND,0,,7349,FABRICACION GOLFI,CADENAS,GENERAL,GENERAL
000000219006,ZC285,CADENA GOLFIED ENSAMBLE-1 MTR,YOUN,WYUN,WPUN,UONN,ZVRU,UND,,,,ENSAMBLE,GOLFIED,CADENERIA,GENERAL
,ZC85,CADENA GOLFIED,ZVNN,ZUUN,ZPNN,YPNN,RNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000156868,ZDB109,ENSAMBLE GOLFIED (404),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDB121,ENSAMBLE GOLFIED (343),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158008,ZDB130,ENSAMBLE GOLFIED (667),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDD,ENSAMBLE GOLFIED (473),ZYNN,ZWNN,ZUUN,YVNN,SNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000160766,ZDD10,ENSAMBLE GOLFIED (13),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158152,ZDD101,ENSAMBLE GOLFIED (345),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000158169,ZDD101-1,ENSAMBLE GOLFIED (322),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDD101-2,ENSAMBLE GOLFID,ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157926,ZDD117,ENSAMBLE GOLFIED (371),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000196987,ZDD119,ENSAMBLE GOLFIED (359),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000188814,ZDD120,ENSAMBLE GOLFIED(342),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,SEPARADORES,GENERAL
000000157810,ZDD124,ENSAMBLE GOLFIED (662),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157339,ZDD125,ENSAMBLE GOLFIED (663),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,SEPARADORES,GENERAL
000000157711,ZDD126,ENSAMBLE GOLFIED (664),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158091,ZDD128,ENSAMBLE GRAMO (666),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157377,ZDD133,ENSAMBLE GOLFIED (669),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000196994,ZDD139,ENSAMBLE GOLFIED (680),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000196970,ZDD139-1,ENSAMBLE GOLFIED(680),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDD139-2,ENSAMBLE GOLFID (675),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000160452,ZDD140,ENSAMBLE GOLFIED (676),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157865,ZDD142-1,ENSAMBLE GOLFIED (683),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDD143,ENSAMBLE GOLFIED (679),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157889,ZDD145,ENSAMBLE GOLFIED (682),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157797,ZDD146,ENSAMBLE GOLFIED (684),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157780,ZDD148,ENSAMBLE GOLFIED (686),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157360,ZDD153,ENSAMBLE GOLFIED (321),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157124,ZDD195,ENSAMBLE GOLFIED (108),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157513,ZDD197,ENSAMBLE GOLFIED(106),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157070,ZDD198,ENSAMBLE GOLFIED (101),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158534,ZDD2,EMSAMBLE GPOLFIED(528),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158190,ZDD200,ENSAMBLE GOLFIED (146),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158244,ZDD201-1,ENSAMBLE GOLFIED (702),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158015,ZDD201-2,ENSAMBLE GOLFIED (708),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157179,ZDD201-3,ENSAMBLE GOLFIED (701),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000188692,ZDD203,ENSAMBLE GOLFIED(753),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157032,ZDD209,ENSAMLBE GOLFIED (695),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157100,ZDD210-1,ENSAMBLE GOLFIED (696),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157704,ZDD210-2,ENSAMBLE GOLFIED (1),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158084,ZDD211-1,ENSAMBLE GOLFIED (2),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160810,ZDD211-2,ENSAMBLE GOLFIES (3),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDD213,DIJE,ZRNN,ZPUN,YYNN,WVNN,PUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000156974,ZDD214,ENSAMBLE GOLFIED (4),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157643,ZDD221-1,EMSAMBLE GOLFIED (34),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157681,ZDD221-2,EMSAMBLE GOLFIED (81),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157971,ZDD222,EMSAMBLE GOLFIED (83),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157001,ZDD224,ENSAMBLE GOLFIED (73),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157803,ZDD228,ENSAMBLE GOLFIED (125),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDD229,DIJE,ZWNN,ZVUN,ZRNN,YSNN,SUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157087,ZDD23,EMSAMBLE GOOLFIED (205),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDD231,DIJE,ONN,ZNNN,ZZUN,ZPNN,VUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157896,ZDD232,ENSAMBLE GOLFIED (275),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000161046,ZDD234,ENSAMBLE GOLFIED (225),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000188722,ZDD237,ENSAMBLE GOLFIED(279),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157988,ZDD240,ENSAMBLE GOLFIED (308),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157490,ZDD243,ENSAMBLE GOLFIED (311),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000155991,ZDD246,ENSAMBLE GOLFIED (331),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157964,ZDD249,ENSAMBLE GOLFIED (330),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDD25,EMSAMBLE GOLFIED (497),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158527,ZDD253,ENSAMBLE GOFIED (455),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160407,ZDD255,ENSAMBLE GOLFIED (434),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158510,ZDD257,ENSAMBLE GOLFIED (442),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157322,ZDD265,ENSAMBLE GOLFIED (304),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000158497,ZDD273,ENSAMBLE GOLFIED (123),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158473,ZDD28,EMSAMBLE GOLFIED (143),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDD290,ENSAMBLE GOLFIED,ONN,ZNNN,ZZUN,ZPNN,VUN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000160674,ZDD315-1,EMSAMBLE GOLFIED (134-400),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160889,ZDD315-2,ENSAMBLE GOLFIED (400),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000188777,ZDD48,ENSAMBLE GOLFIED(89),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000156875,ZDD51,EMSAMBLE GOLFIED(55),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158411,ZDD52,EMSAMBLE GOLFIED(174),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157247,ZDD56,ENSAMBLE GOLFIED (47),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158428,ZDD59,EMSAMBLE GOLFIED (183),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157384,ZDD60,ENSAMBLE GOLFIED (17),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160414,ZDD67,ENSAMBLE GOLFIED (168),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158343,ZDD77,EMSAMBLE GOLFIED (30),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDF230,ENSAMBLE GOLFIED (154),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000157162,ZDM1,EMSAMBLE GOLFIED (23),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158145,ZDM100,ENSAMBLE GOLFIED (319),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000156820,ZDM102,ENSAMBLE GOLFIED (314),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160896,ZDM104,ENSAMBLE GOLFIED (567),ONN,ZNNN,ZZUN,ZPNN,VUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157605,ZDM105,ENSAMBLE GOLFIED (658),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158268,ZDM106,ENSAMBLE GOLFIED (659),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000161152,ZDM110,ENSAMBLE GOLFIED (406),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157131,ZDM113,ENSAMBLE GOLFIED (396),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000161145,ZDM114,ENSAMBLE GOLFIED (390),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158183,ZDM116,ENSAMBLE GOLFIED (384),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157476,ZDM12,ENSAMBLE GOLFIED(177),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160575,ZDM123,ENSAMBLE GOLFIED (661),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000156899,ZDM127,ENSAMBLE GOLFIED (665),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000156882,ZDM13,EMSAMBLE GOLFIED(59),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158381,ZDM135,ENSAMBLE GOLFIED (671),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160971,ZDM136,ENSAMBLE GOLFIED (672),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000157056,ZDM137,ENSAMBLE GOLFIED (673),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160568,ZDM138,ENSAMBLE GOLFIED (674),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000156943,ZDM141-1,ENSAMBLE GOLFIED (677),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160650,ZDM141-2,ENSAMBLE GOLFIED (204),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,ZDM147,ENSAMBLE GOLFIED (685),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158374,ZDM15,EMSAMBLE GOLFIED (50),ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000160957,ZDM154,ENSAMBLE GOLFIED (214),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160582,ZDM155,ENSAMBLE GOLFIED (213),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000161015,ZDM157,ENSAMBLE GOLFIED (211),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000218627,ZDM16-1,EMSAMBLE GOLFIED (165),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000219433,ZDM16-2,EMSAMBLE GOLFIED (166),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000219204,ZDM17-1,ENSAMBLE GOLFIED (164),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000218863,ZDM17-2,ENSAMBLE GOLFIED (60),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160483,ZDM18,EMSAMBLE GOLFIED (24),ZNNN,ZZNN,ZWNN,YNNN,UNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000160506,ZDM19,EMSAMBLE GOLFIED (142),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000156929,ZDM199-1,EMSAMBLE GOLFIED (88),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000160292,ZDM199-2,EMSAMBLE GOLFIED (100),ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000158442,ZDM20,EMSAMBLE GOLFIED (171),OUN,ZNUN,ZYUN,ZONN,VRU,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
